review,rating,date,bank,source,theme
really am happy to this app it is siple to use everything,5,2025-06-07,CBE,Google Play,Other
i liked this app. but the user interface is very basic and not attractive at all.,2,2025-06-07,CBE,Google Play,UI/UX
"""why don’t your atms support account-to-account transfers like other countries( kenya, nigeria , south africa)""",4,2025-06-05,CBE,Google Play,Transaction Problems
what is this app problem???,1,2025-06-05,CBE,Google Play,Other
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play,Other
i cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play,Other
good,4,2025-06-05,CBE,Google Play,Other
not functional,1,2025-06-04,CBE,Google Play,Other
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play,Other
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,CBE,Google Play,Other
best,5,2025-06-04,CBE,Google Play,Other
bezabih,5,2025-06-04,CBE,Google Play,Other
best mobile banking app ever,5,2025-06-04,CBE,Google Play,Other
it was good app but it have some issues like it doesnt give me the right amount that i have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play,Transaction Problems
good,5,2025-06-04,CBE,Google Play,Other
👌👍,5,2025-06-04,CBE,Google Play,Other
very niec,5,2025-06-04,CBE,Google Play,Other
best app of finance,5,2025-06-03,CBE,Google Play,Other
yetemeta,1,2025-06-03,CBE,Google Play,Other
engida kebede fetera,5,2025-06-03,CBE,Google Play,Other
it is not safety,1,2025-06-02,CBE,Google Play,Other
nice bank,5,2025-06-02,CBE,Google Play,Other
it is like a childish app make it better the worst i have ever seen,1,2025-06-02,CBE,Google Play,Other
"it's a problem solver application, go ahead cbe, i love so much.",5,2025-06-02,CBE,Google Play,Other
it's good but try to make it facilitate for your client,4,2025-06-01,CBE,Google Play,Other
best app,5,2025-06-01,CBE,Google Play,Other
awesome bank,5,2025-06-01,CBE,Google Play,Other
this app has developed in a very good ways but there are some comments i need to make 1- preventing the screenshot likely not good for someone like me coz i need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play,UI/UX
